||SasView Model||SasView Description||SasView Parameters||SasFit Model||SasFit Description||SasFit Parameters||
||teubner_strey||   Scattering model class for the Teubner-Strey model given by     Provide F(x) = 1/( a2 + c1 q ^ 2+  c2 q ^ 4 ) + background     a2>0, c1<0, c2>0, 4 a2 c2 - c1 ^ 2 > 0 ||a2, , 0.1, [0, inf], , a2, c1, 1e-6/Ang^2, -30.0, [-inf, 0], , c1, c2, Ang, 5000.0, [0, inf], volume, c2||||TeubnerStrey||F ^ 2(Q,Rg,I0) = eta ^ 2*8*pi/xi/(a ^ 2-2bq ^ 2+q ^ 4) with k=2pi/d, a=k ^ 2+1/xi ^ 2, b=k ^ 2-1/xi ^ 2||xi, , 10.0, [-inf, inf], , xi: correlation length, d, , 0.0, [-inf, inf], , d: characteristic domain size (the periodicity), eta, , 0.0, [-inf, inf], , eta: mean average contrast||
||broad_peak||      I(q) = scale_p/pow(q,exponent)+scale_l/       (1.0 + pow((fabs(q-q_peak)*length_l),exponent_l) )+ background        List of default parameters:       porod_scale = Porod term scaling       porod_exp = Porod exponent       lorentz_scale = Lorentzian term scaling       lorentz_length = Lorentzian screening length [A]       peak_pos = peak location [1/A]       lorentz_exp = Lorentzian exponent       background = Incoherent background||porod_scale, , 1e-05, [-inf, inf], , Power law scale factor, porod_exp, , 3.0, [-inf, inf], , Exponent of power law, lorentz_scale, , 10.0, [-inf, inf], , Scale factor for broad Lorentzian peak, lorentz_length, Ang, 50.0, [-inf, inf], , Lorentzian screening length, peak_pos, 1/Ang, 0.1, [-inf, inf], , Peak position in q, lorentz_exp, , 2.0, [-inf, inf], , Exponent of Lorentz function||||BroadPeak||F ^ 2(q,I0,xi,m,q0) = I0/(1+(fabs(q-q0)*xi) ^ m) ^ p||I0, , 10.0, [-inf, inf], , I0: forward scattering, XI, , 0.0, [-inf, inf], , xi: correlation length, Q0, , 0.0, [-inf, inf], , q0:peak position which is related to the d-spacing as q0 = 2pi/d, M, , 1.0, [-inf, inf], , m:, P, , 0.0, [-inf, inf], , p:||
||dab|| F(q)= scale * L ^ 3/(1 + (q*L) ^ 2) ^ 2  L: the correlation length  ||length, Ang, 50.0, [0, inf], , correlation length||||DAB||F ^ 2(Q,Rg,I0) = I0/(1+Q ^ 2*xi ^ 2) ^ 2||xi, , 10.0, [-inf, inf], , xi: correlation length, I0, , 0.0, [-inf, inf], , I0: forward scattering I(Q=0)||
||spinodal||             I(q) = I_max * (1 + gamma/2) *x**2 / (gamma/2 +x**(2+gamma)             I_max =  The scattering intensity at peak position [1/cm]             q_max = The position of the correlation peak [1/A]             ganmna = The decomposition epxonent             background = Incoherent background [1/cm]         ||I_max, , 1.0, [-inf, inf], , Scattering intensity at peak position, qmax, 1/Ang, 0.04, [-inf, inf], , Croleation peak position, gamma, , 2.0, [-inf, inf], , Decomposition exponent||||Spinodal||F ^ 2(Q,gamma,Qmax,I0) = I0 (1+gamma/2)(Q/Qmax) ^ 2/(gamma/2+(Q/Qmax) ^ (2+gamma))||Qmax, , 10.0, [-inf, inf], , Qmax:, gamma, , 0.0, [-inf, inf], , gamma: the exponent gamma is equal to d+1 for off-critical concentration mixtures
and 2d for critical concentration mixtures (d:dimension), I0, , 0.0, [-inf, inf], , Imax: scattering intensity at peak position I(Q=Qmax)||
||guinier||  I(q) = scale.exp ( - rg ^ 2 q ^ 2 / 3.0 )       List of default parameters:     scale = scale     rg = Radius of gyration ||rg, Ang, 60.0, [0, inf], , Radius of Gyration|| || || ||
||cylinder||      f(q,alpha) = 2*(sld - sld_solvent)*V*sin(qLcos(alpha)/2))                 /[qLcos(alpha)/2]*J1(qRsin(alpha))/[qRsin(alpha)]              P(q,alpha)= scale/V*f(q,alpha) ^ (2)+background             V: Volume of the cylinder             R: Radius of the cylinder             L: Length of the cylinder             J1: The bessel function             alpha: angle between the axis of the             cylinder and the q-vector for 1D             :the ouput is P(q)=scale/V*integral             from pi/2 to zero of...             f(q,alpha) ^ (2)*sin(alpha)*dalpha + background ||sld, 4e-6/Ang^2, 4, [-inf, inf], , Cylinder scattering length density, sld_solvent, 1e-6/Ang^2, 1, [-inf, inf], , Solvent scattering length density, radius, Ang, 20, [0, inf], volume, Cylinder radius, length, Ang, 400, [0, inf], volume, Cylinder length, theta, degrees, 60, [-inf, inf], orientation, In plane angle, phi, degrees, 60, [-inf, inf], orientation, Out of plane angle|| || || ||
||polymer_excl_volume||Compute the scattering intensity from polymers with excluded                 volume effects.                 rg:         radius of gyration                 porod_exp:  Porod exponent               ||rg, Ang, 60.0, [0, inf], , Radius of Gyration, porod_exp, , 3.0, [-inf, inf], , Porod exponent|| || || ||
||lamellar_stack_paracrystal||    [Random lamellar phase with paracrystal structure factor]         randomly oriented stacks of infinite sheets         with paracrytal S(Q), having polydisperse spacing.         sld = sheet scattering length density         sld_solvent = solvent scattering length density         background = incoherent background         scale = scale factor ||thickness, Ang, 33.0, [0, inf], volume, sheet thickness, Nlayers, , 20, [0, inf], , Number of layers, spacing, Ang, 250.0, [0.0, inf], , d-spacing of paracrystal stack, spacing_polydisp, Ang, 0.0, [0.0, inf], , d-spacing polydispersity, sld, 1e-6/Ang^2, 1.0, [-inf, inf], , layer scattering length density, sld_solvent, 1e-6/Ang^2, 6.34, [-inf, inf], , Solvent scattering length density|| || || ||
||gel_fit||    Structure factor for interacting particles:      Shibayama-Geissler Two-Length Scale Fit for Gels (GelFit)      Shibayama; Tanaka; Han J Chem Phys (1992), 97(9), 6829-6841     Mallam; Horkay; Hecht; Rennie; Geissler, Macromol (1991), 24, 543 ||guinier_scale, cm^-1, 1.7, [-inf, inf], , Guinier length scale, lorentzian_scale, cm^-1, 3.5, [-inf, inf], , Lorentzian length scale, gyration_radius, Ang, 104.0, [2, inf], , Radius of gyration, fractal_exp, , 2.0, [0, inf], , Fractal exponent, cor_length, Ang, 16.0, [0, inf], , Correlation length|| || || ||
